director,title
Eduardo Mendoza de Echave,The last hour
Henrik Martin Dahlsbakken,Cave
Arun Chidambaram,Kanavu Variyam
Caio Cobra,Marco Luque: Tamo Junto
Tomer Heymann,Mr. Gaga: A True Story of Love and Dance
Alex Infascelli,S Is for Stanley
Cal Seville,The Russian Revolution
Peggy Holmes,The Pirate Fairy
Bruno Garotti,DJ Cinderella
Kyle Newacheck,Murder Mystery
Zachary Heinzerling,Cutie and the Boxer
Abdul Aziz Hashad,Convict
Khaled Marei,Flimflam
Mark Ritchie,Oprah Presents When They See Us Now
Mahmoud Karim,Savage Raghda
Rocky Soraya,The 3rd Eye 2
Sameh Abdulaziz,The Ant's Scream
Tarek Al Eryan,The Cell
Hadi El Bagoury,The Right One
Patrik Syversen,Dragonheart: Battle for the Heartfire
Michael John Warren,"Oh, Hello On Broadway"
Andy Capper,Reincarnated
Shannon Hartman,Jo Koy: Comin' In Hot
Martin Scorsese,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
NA,A new Capitalism
Waymon Boone,My Daddy is in Heaven
"Phil Johnston, Rich Moore",Ralph Breaks the Internet: Wreck-It Ralph 2
Julie Dash,Daughters of the Dust
Andrew C. Erin,Havenhurst
Derek Yee,Sword Master
Cristina Jacob,#Selfie
Cristina Jacob,#Selfie 69
Roland Emmerich,"10,000 B.C."
Jonathan Levine,50/50
David McCracken,Bullitt County
Brian De Palma,Carrie
Sanjib Dey,III Smoking Barrels
Ron Davis,Life in the Doghouse
Cristina Jacob,Love Is a Story
Cristina Jacob,"Oh, Ramona!"
Barry Avrich,Prosecuting Evil: The Extraordinary World of Ben Ferencz
Jon Avnet,Righteous Kill
V. Scott Balcerek,Satan & Adam
Joe Dante,Small Soldiers
Richard Kelly,The Box
Joel Schumacher,The Phantom of the Opera
Peter Chelsom,The Space Between Us
Peter Hutchings,Then Came You
Daniel Yee Heng Chan,We Are Legends
Dennie Gordon,What a Girl Wants
Shadab Khan,B.A. Pass 2
Nattawut Poonpiriya,Bad Genius
Elvira Lind,Bobbi Jene
Davis Guggenheim,He Named Me Malala
Gavin O'Connor,Miracle
Jon Turteltaub,National Treasure
Mahesh Manjrekar,Natsamrat - Asa Nat Hone Nahi
Lynn Shelton,Outside In
Felix Starck,Pedal the World
Robert Kouba,Singularity
Umesh Mehra,Aashik Awara
Edward Cotterill,Amelia: A Tale of Two Sisters
Ted Braun,Betting on Zero
Jon Manning,Burlesque: Heart of the Glitter Tribe
Onur Tukel,Catfight
Luis Lopez,Chingo Bling: They Can't Deport Us All
Saara Cantell,Devil's Bride
Ron Howard,How the Grinch Stole Christmas
Cal Seville,How to Stage a Coup
Edward Cotterill,Jackie: A Tale of Two Sisters
Jayaprakash Radhakrishnan,Lens
Rob Meyer,Little Boxes
Anita Barbosa,Love.com
Ketan Mehta,Maya Memsaab
Daniel Wilner,Michael Lost and Found
Ketan Mehta,Oh Darling Yeh Hai India
Lekh Tandon,Prince
Umesh Mehra,Qila
Alberto Rodríguez,Smoke & Mirrors
Edward Cotterill,The Mitfords: A Tale of Two Sisters
Alfonso Cuarón,Y Tu Mamá También
Jose Manuel Colón,Black Man White Skin
Javier Ruiz Caldera,Spy Time
David Sington,The Fear of 13
Zoe Berriatúa,The Heroes of Evil
Luis Estrada,The Perfect Dictatorship
Spike Jonze,Aziz Ansari: RIGHT NOW
Rob Marshall,Mary Poppins Returns
Karyn Kusama,The Invitation
Phyllida Lloyd,The Iron Lady
Leif Tilden,1 Mile to You
Pat Healy,Take Me
"Dustin McKenzie, Andrew Duncan, Audu Paden","Monster High: Scaris, City of Frights"
"Fabio Grassadonia, Antonio Piazza",Sicilian Ghost Story
NA,100 Days Of Solitude
"Raúl Campos, Jan Suter",Luciano Mellera: Infantiloide
Jody Hill,The Legacy of a Whitetail Deer Hunter
Samu Fuentes,The Skin of the Wolf
Alexandre Espigares,White Fang
Suhas Kadav,Motu Patlu: King of Kings
Dan Harris,Speech & Debate
Qaushiq Mukherjee,Brahman Naman
"Marcelo Altmark, Mariano Mucci, Luis A. Scalella","River, el más grande siempre"
Derek Cianfrance,Blue Valentine
Michèle Ohayon,Cristina
Renny Harlin,Skiptrace
Kevin Layne,Sommore: Chandelier Status
Amanda Micheli,Vegas Baby
Eric Khoo,Ramen Shop
Gideon Raff,The Red Sea Diving Resort
"Kang Cheng, Shan Hua",Flying Guillotine 2
Cheh Chang,The Five Venoms
Víctor García,All Good Ones Get Away
Wilson Coneybeare,American Hangman
Marcus Raboy,Whitney Cummings: Can I Touch It?
Note Chern-Yim,Holy Man 2
Note Chern-Yim,Holy Man 3
Poj Arnon,The Unborn Child
"Fernando Sariñana, José Luis Gutiérrez",Loco Love
Jonathan Levine,All the Boys Love Mandy Lane
Scott L. Montoya,Felipe Esparza: They're Not Going to Laugh at You
Scott L. Montoya,Joan Rivers: Don't Start with Me
Marcus Raboy,Katt Williams: Kattpacalypse
David Blair,Mission of Honor
"Kirk De Micco, Chris Sanders",The Croods
Spike Jonze,Her
Sian Heder,Tallulah
Ted Emery,Da Kath & Kim Code
Ted Emery,Kath & Kimderella
John Wells,The Company Men
Meng Hua Ho,The Flying Guillotine
Tony Datis,The Mansion
Ben Ryder,Diana: 7 Days That Shook the World
Jim Strouse,The Incredible Jessica James
"Raúl Campos, Jan Suter",Coco y Raulito: Carrusel de ternura
Ben Young,Extinction
Kirby Dick,The Bleeding Edge
Raymond Wood,1st Summoning
Jorge M. Fontana,Boi
Mikhail Red,Eerie
Olivier Afonso,Girls With Balls
James Woodroffe,Guy Martin: Last Flight of the Vulcan Bomber
David Leveaux,The Exception
Sebastián Schindel,The Son
Asif Kapadia,Amy
Kyle Newman,Barely Lethal
Gilles Paquet-Brenner,Dark Places
Alex Garland,Ex Machina
Keanu Reeves,Man of Tai Chi
"Anna Boden, Ryan Fleck",Mississippi Grind
William Monahan,Mojave
Piti Jaturaphat,Pahuyut Fighting Beat
Atom Egoyan,Remember
John Maclean,Slow West
James Ponsoldt,The End of the Tour
Tanit Jitnukul,Bang Rajan 2
Atsajun Sattakovit,My True Friend
Poj Arnon,Oh My Ghost
Poj Arnon,Oh My Ghost 2
Poj Arnon,Oh My Ghost 4
Abhishek Sharma,Parmanu: The Story of Pokhran
Note Chern-Yim,The Holy Man
Sukum Maetawanitch,Train of the Dead
Tiffanie Hsu,Waterschool
Daniel Gray Longino,Joe Mande’s Award-Winning Comedy Special
Nick Gomez,Lizzie Borden Took an Ax
"Karim Amer, Jehane Noujaim",The Great Hack
Steve Paley,Iliza Shlesinger: Elder Millennial
Daniel Calparsoro,The Warning
Kevin Smith,Tusk
Kasper Collin,I Called Him Morgan
Brandon Dickerson,Victor
Harvey Lowry,The Competition
William Friedkin,The Devil and Father Amorth
Quentin Tarantino,Inglourious Basterds
Paul Andrew Williams,Unfinished Song
J.C. Chandor,A Most Violent Year
"Byron Howard, Chris Williams",Bolt
Dharmesh Darshan,Bewafaa
Benny Chan,Connected
Jay Chapman,D.L. Hughley: Contrarian
"Jay Karas, Demetri Martin",Demetri Martin: The Overthinker
Dante Lam,The Beast Stalker
Chi Keung Fung,The Midas Touch
"Corey Yuen, Patrick Leung",The Twins Effect II
To-hoi Kong,Twins Mission
Jeff Baena,Life After Beth
"Andrew Lau Wai-Keung, Andrew Loo",Revenge of the Green Dragons
Pete Travis,City of Tiny Lights
Michael Gallagher,Internet Famous
"Hassan Hegazy, Shady Ali",May You Prosper
Chris Jenkins,Duck Duck Goose
NA,Father of the Year
Alexandre Avancini,Nothing to Lose
Atom Egoyan,The Captive
Ziga Virc,"Houston, We Have a Problem!"
Jeffrey Walker,Dance Academy: The Comeback
Sam Voutas,King of Peking
Alexander Nevsky,Black Rose
Frank Ariza,"¡Ay, mi madre!"
Jacob Schwab,Iron Cowboy: The Story of the 50.50.50
NA,El club de los buenos infieles
Alphonso J. Wesson,Katt Williams: Live
Gillian Robespierre,Obvious Child
Lenny Abrahamson,Room
Lynn Shelton,Say When
Julius Avery,Son of a Gun
David Michôd,The Rover
Orson Welles,The Stranger
Peter Sullivan,Secret Obsession
Destin Daniel Cretton,Short Term 12
Alexis Morante,Camarón: The Film
"Kobun Shizuno, Hiroyuki Seshita",GODZILLA City on the Edge of Battle
Fazila Allana,Aditi Mittal: Things They Wouldn't Let Me Say
Peter Svatek,Theater of Life
Aditya Sarpotdar,Mauli
Hiromasa Yonebayashi,Mary and the Witch's Flower
Agustí Villaronga,Uncertain Glory
"Kristina Goolsby, Ashley York",Tig
Nisheeta Keni,Bogda
Daniel Gray Longino,"Frankenstein’s Monster’s Monster, Frankenstein"
"Harvey Glazer, Stuart Stone",Jack of all Trades
Peyton Reed,The Break-Up
"Ron Clements, John Musker",The Princess and the Frog
Chris Stokes,We Belong Together
Steven Fine,Love Shot
Roman Coppola,A Glimpse Inside the Mind of Charles Swan III
Denis Villeneuve,Enemy
Alejandro Doria,Esperando La Carroza
Heber Cannon,Froning: The Fittest Man in History
Sally Potter,Ginger & Rosa
Clay Glen,Going for Gold
Steven Knight,Locke
Ana Quiroga,Lucha: Playing the Impossible
Harmony Korine,Spring Breakers
Jean-Cosme Delaloye,Stray Bullet
Santosh Sivan,Tahaan
NA,Tango Feroz
Natalia Garagiola,Temporada de Caza
Pamela Romanowsky,The Adderall Diaries
James Ponsoldt,The Spectacular Now
Jonathan Glazer,Under The Skin
Esteban Crespo,Amar
Anil Sharma,Singh Saab the Great
Ganesh Kadam,Vitti Dandu
"Anthony Scott Burns, Nicholas McCarthy, Adam Egypt Mortimer, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Kevin Kolsch, Dennis Widmyer",Holidays
Ticoy Rodriguez,Lusers
Karl Mueller,Rebirth
Joe Berlinger,Tony Robbins: I Am Not Your Guru
Philipp Stölzl,The Physician
Michael Curtiz,White Christmas
Florian Gallenberger,Colonia
Harry Chaskin,Buddy Thunderstruck: The Maybe Pile
Jeff Orlowski,Chasing Coral
Marti Noxon,To the Bone
Allan Ungar,Gridlocked
Patrick Brice,Creep
Christophe Honoré,"Plaire, aimer et courir vite"
David M. Rosenthal,How It Ends
Scott Zabielski,Jim Jefferies: This Is Me Now
"Leslie Small, Tim Story",Kevin Hart: Let Me Explain
Diego Cohen,Romina
"William Eubank, Will Eubank",The Signal
Jay Chapman,D.L. Hughley: Clear
John Dower,My Scientology Movie
Jay Chapman,Tom Segura: Completely Normal
Gerardo Olivares,4L
Mark Harris,Black & Privileged: Volume 1
Wi Ding Ho,Cities of Last Things
Thomas Sieben,Kidnapping Stella
Joe Lynch,Point Blank
Noam Murro,Smart People
Andreas Pichler,The Milk System
NA,Little Singham Bandarpur Mein Hu Ha Hu
Daniel Arasanz,Parchís: the Documentary
Joseph Martin,Us and Them
"Chapman Way, Maclain Way",The Battered Bastards of Baseball
Sylvie Verheyde,Sex Doll
Kasper Barfoed,Summer of '92
Phil Joanou,Chris Tucker Live
Martin Scorsese,Alice Doesn't Live Here Anymore
Courtney Hunt,Frozen River
Iain Softley,Inkheart
Linda Mendoza,Katherine Ryan: Glitter Room
Jonathan Hensleigh,Kill the Irishman
M. Night Shyamalan,Lady in the Water
Richard Greenberg,Little Monsters
Nathan Morlando,Mean Dreams
Martin Scorsese,Mean Streets
Lee Tamahori,Next
George C. Wolfe,Nights in Rodanthe
NA,NOVA: Bird Brain
Rushmore DeNooyer,NOVA: Black Hole Apocalypse
Martin Gorst,NOVA: Building Chernobyl's MegaTomb
Giulia Clark,NOVA: Chinese Chariot Revealed
Sarah Holt,NOVA: Day the Dinosaurs Died
Terri Randall,NOVA: Death Dive to Saturn
Doug Hamilton,NOVA: Decoding the Weather Machine
Martin Gorst,NOVA: Eclipse Over America
Peter Fison,NOVA: Extreme Animal Weapons
Graham Townsley,NOVA: First Face of America
"Paula Apsell, Kirk Wolfinger",NOVA: Holocaust Escape Tunnel
NA,NOVA: Killer Floods
Oliver Twinch,NOVA: Killer Hurricanes
Oliver Twinch,NOVA: Killer Volcanoes
Llewellyn M. Smith,NOVA: Poisoned Water
Daniel McCabe,NOVA: Prediction by the Numbers
Peter Yost,NOVA: Secrets of the Shining Knight
Tom Stubberfield,NOVA: Thai Cave Rescue
"Noel Dockstader, Quinn Kanaly",NOVA: The Impossible Flight
Gail Willumsen,Nova: Ultimate Mars Challenge
Steve Carr,Paul Blart: Mall Cop
Jonathan Demme,Philadelphia
Andy Fickman,Race to Witch Mountain
Barry Levinson,Rain Man
"Max Lang, Jani Lachauer",Room on the Broom
Wes Craven,Scream 3
Robert Rodriguez,Shorts
"David Allensworth, Monière",Soul to Keep
Todd Phillips,Starsky & Hutch
Ann Deborah Fishman,Swiped
Dominic Sena,Swordfish
Martin Scorsese,Taxi Driver
Ryu Jung-woo,Tayo the Little Bus Movie: Mission Ace
Matthew Shoychet,The Accountant of Auschwitz
"Albert Hughes, Allen Hughes",The Book of Eli
Terry Gilliam,The Brothers Grimm
Rob Minkoff,The Forbidden Kingdom
Andrew Fleming,The In-Laws
Shawn Levy,The Pink Panther
Hernán Zin,War Against Women
Martin Scorsese,Who's That Knocking at My Door?
Lijo Jose Pellissery,Angamaly Diaries
Raj Kaushal,Anthony Kaun Hai?
"Bo Burnham, Christopher Storer",Bo Burnham: what.
Noushad,Cappuccino
Aziz Mirza,Chalte Chalte
Anuranjan Premji,Chicken Kokkachi
Jason Bourque,Counterfeiting in Suburbia
Johnson Esthappan,Daffedar
K.C. Bokadia,Deewana Main Deewana
Greg MacGillivray,Dream Big: Engineering Our World
Miguel Arteta,Duck Butter
P.K. Baaburaaj,Gemini
Nila Madhab Panda,I Am Kalam
Vineeth Anil,Kaviyude Osyath
Katherine Brooks,Loving Annabelle
Jayan Vannery,Ma Chu Ka
Bob Odenkirk,Melvin Goes to Dinner
Samir Soni,My Birthday Song
Vipul Amrutlal Shah,Namastey London
NA,Our Shining Days
Chandran Narikode,Paathi
Gafoor Y. Elliyaas,Pareeth Pandaari
Dileep Narayanan,Paulettante Veedu
Paritosh Painter,Paying Guests
Venugopan,Sarvopari Palakkaran
Jay Chou,Secret
Imtiaz Ali,Socha Na Tha
Juan Antonio de la Riva,Soul Robbers
Jenée LaMarque,The Feels
Michael Radford,The Music of Silence
"Heber Cannon, Mariah Moore, Marston Sawyers",The Redeemed and the Dominant: Fittest on Earth
Saheed Arafath,Theeram
Jeffrey Nachmanoff,Traitor
Kabir Sadanand,Tum Milo Toh Sahi
P.T. Kunju Muhammad,Viswasapoorvam Mansoor
Greg MacGillivray,"We, the Marines"
Huang Lei,What a Wonderful Family!
"Bert Marcus, Cyrus Saidi",What We Started
Shlok Sharma,Zoo
Adam Deyoe,1 Chance 2 Dance
Nicolas Brossette,10 jours en or
Clay Glen,A 2nd Chance
Castille Landon,Albion: The Enchanted Stallion
Lekh Tandon,Amrapali
Martin Hodara,Black Snow
Vivieno Caldinelli,Bruno and Boots: The Wizzle War
Doesjka van Hoogdalem,Hans Teeuwen: Real Rancour
Rod Blackhurst,Here Alone
Asim Raza,Ho Mann Jahaan
Sushil Majumdar,Lal Patthar
Geetu Mohandas,Liar's Dice
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Players
Lekh Tandon,Professor
Paulo Oriol,The Invisible Guest
Li Jun,Tik Tok
Bilal Lashari,Waar
Yasir Nawaz,Wrong No.
Umesh Mehra,Yaar Gaddar
Oskar Santos,Zipi & Zape y la Isla del Capitan
"Anders Sømme Hammer, Marius Arnesen, Klaus Erik Okstad, Olav Njaastad",Exit Afghanistan
Ryan Polito,Jim Jefferies: Freedumb
Felix Thompson,King Jack
Ishaya Bako,Road to Yesterday
"Ola Flyum, David Hebditch",Stealing History
Benny Fredman,Suicide (Hitabdut)
"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma",X: Past Is Present
Ivona Juka,You Carry Me
Don Michael Paul,Bulletproof 2
Mark Sloper,Speed Is My Need
"Kobun Shizuno, Hiroyuki Seshita",GODZILLA The Planet Eater
Kunal Kohli,Next Enti?
Ron Howard,Solo: A Star Wars Story
Ron Howard,Solo: A Star Wars Story (Spanish Version)
Bryan Bertino,The Monster
J. Michael Long,Alien Contact: Outer Space
Milind Rau,The House Next Door
Nick Broomfield,Kurt & Courtney
James Wan,The Conjuring
Jay Karas,Tom Segura: Mostly Stories
David Lowery,A Ghost Story
Maria Ripoll,"Live Twice, Love Once"
Florian Henckel von Donnersmarck,The Tourist
"Aaron Hancox, Michael McNamara",Catwalk: Tales from the Cat Show Circuit
Noor Imran Mithu,Komola Rocket
Paakhi Tyrewala,Pahuna
Barbara Kopple,Miss Sharon Jones!
Babak Anvari,Under the Shadow
Sandy Chronopoulos,House of Z
Emily Hagins,Coin Heist
Eric Juhola,Growing Up Coy
Greg Richardson,LEGO: Marvel Super Heroes: Maximum Overload
Dharmendra Suresh Desai,Rustom
Iman Brotoseno,3 Heroines
Anggy Umbara,5 Cowok Jagoan
Garin Nugroho,Chaotic Love Poems
Sridhar Jetty,Love You... Love You Not
Clive Tonge,Mara
Nonzee Nimibutr,Nang Nak
Hanung Bramantyo,Soekarno
Mike Flanagan,Before I Wake
"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder",Don Quixote: The Ingenious Gentleman of La Mancha
José Eduardo Belmonte,Back and Forth
Hans Petter Moland,Kraftidioten
Uwe Boll,Rampage: President Down
Ísold Uggadóttir,And Breathe Normally
Lorena Munoz,El Potro: Unstoppable
Genevieve Nnaji,Lionheart
Mitch Schauer,Marvel's Hulk: Where Monsters Dwell
Terry Loane,Agatha and the Truth of Murder
Mamat Khalid,Hantu Kak Limah
Maria Demeshkina Peek,I Dream Of Dance
Pang Ho-cheung,Love Off the Cuff
Mario Mattei,The Gentleman Driver
Lasse Hallström,The Hundred-Foot Journey
Selima Taibi,Expedition Happiness
Jay Karas,Bill Burr: Walk Your Way Out
Alejandra Márquez Abella,Semana Santa
Amarjit Virdi,Maharaja: The Story of Ranjit Singh
Kamal Sahani,Sat Sri Akal
"Dan Kwan, Daniel Scheinert",Swiss Army Man
Brad Bird,The Incredibles 2
Fred Durst,The Longshots
Pankaj Batra,Virsa
Marty Callner,Jerry Seinfeld: I'm Telling You for the Last Time
"William Lau, Sylvain Blais",Monster High: Freaky Fusion
Yibrán Asuad,All the Freckles in the World
Anees Bazmee,Deewangee
John Hughes,Ferris Bueller's Day Off
Luke Sparke,Occupation
Wim Wenders,Pope Francis: A Man of His Word
Lance Bangs,Jen Kirkman: Just Keep Livin’?
Peyton Reed,Ant-Man and the Wasp
Nishil Sheth,Bhasmasur
Manny Rodriguez,"Gabriel ""Fluffy"" Iglesias: One Show Fits All"
Byun Hyuk,High Society
Zoe Berriatúa,Up Among  The Stars
"Javier Ambrossi, Javier Calvo",Holy Camp!
Federico Lemos,Hostages
Jeremy Kenyon Lockyer Corbell,Patient Seventeen
Peter Nicks,The Force
Sébastien Betbeder,Journey to Greenland
Adam Bhala Lough,Alt-Right: Age of Rage
Faozan Rizal,Habibie & Ainun
Mansore,Nathicharami
Hanung Bramantyo,Rudy Habibie
Kuntz Agus,Surga Yang Tak Dirindukan
"Hanung Bramantyo, Meisa Felaroze",Surga Yang Tak Dirindukan 2
NA,Frozen Planet: On Thin Ice
NA,Frozen Planet: The Epic Journey
Adam Randall,IBOY
Nick Broomfield,Biggie & Tupac
Jerrold Tarog,Goyo: The Boy General
David Wain,A Futile and Stupid Gesture
Michael McKay,Fakkah Fuzz: Almost Banned
NA,Mau Nieto: Viviendo sobrio… desde el bar
"Alexandre Heboyan, Benoît Philippon",Mune: Guardian of the Moon
"Raúl Campos, Jan Suter",Sebastián Marcelo Wainraich
NA,13TH: A Conversation with Oprah Winfrey & Ava DuVernay
"Laura Alvea, José Ortuño",Animas
Gastón Duprat,Mi Obra Maestra
NA,Polar
Isaac Florentine,Acts of Vengeance
Marco Dutra,O Silêncio do Céu
Genndy Tartakovsky,Hotel Transylvania 3: Summer Vacation
"Andy Caballero, Diego Corsini",Just Love
July Hygreck,Blockbuster
"Raúl Campos, Jan Suter",Ricardo Quevedo: Hay gente así
Paul Shoulberg,The Good Catholic
Marcus Raboy,Cristela Alonzo: Lower Classy
Greg Whiteley,Mitt
Jorge Blanco,Planet 51
Law Wing-cheong,Iceman
Dash Shaw,My Entire High School Sinking Into the Sea
Scott Moran,Todd Glass: Act Happy
Mario Rouleau,Gad Gone Wild
NA,Iliza Shlesinger: Freezing Hot
"Santiago Diaz, Pablo Martin Farina",Countdown to Death: Pablo Escobar
Scott Zabielski,Where's the Money
"Raúl Campos, Jan Suter",Ricardo O'Farrill Abrazo Genial
Néstor Sánchez Sotelo,Caida del Cielo
Aniruddha Roy Chowdhury,Pink
Chester Tam,Take the 10
Mohit Suri,Half Girlfriend
"Terry Gilliam, Terry Jones",Monty Python and the Holy Grail
Jon Schnitzer,Haunters: The Art of the Scare
Craig Elrod,Mustang Island
"Benjamin Cohen, Nicolas Cotto",The Jack King Affair
Mike Rossiter,Auschwitz: Blueprints of Genocide
Michael McKay,Harith Iskander: I Told You So
Charles Stone III,Step Sisters
"Matt Angel, Suzanne Coote",The Open House
Chris McCoy,Good Kids
Sofia Coppola,The Bling Ring
NA,Close
Chris Smith,FYRE: The Greatest Party That Never Happened
Jonathan Helpert,IO
NA,Lady-Like
André D'Elia,Old Lord Savanna
Matías Gueilburt,Patria
Ivan Ayr,Soni
Chris Baugh,Bad Day for the Cut
Jenny Carchman,Enlighten Us
Tyler Perry,A Fall from Grace
"Raúl Campos, Jan Suter",Arango y Sanint: Ríase el show
Neal Brennan,Neal Brennan: 3 Mics
G.J. Echternkamp,Roger Corman's Death Race 2050
Jehane Noujaim,The Square
Caryn Waechter,Deadcon
Nicholas Stoller,Get Him to the Greek
Tim Hill,Hop
Numa Perrier,Jezebel
Brian Helgeland,Legend
Yoshiyuki Momose,NiNoKuni
Danny Boyle,Steve Jobs
NA,Driven to Dance
"Colin Strause, Greg Strause",Skyline
"Ethan Coen, Joel Coen",A Serious Man
Jean-Marc Vallée,Dallas Buyers Club
NA,Katt Williams: Great America
Marc Abraham,Flash of Genius
Steve Barker,The Rezort
Shawn Levy,Big Fat Liar
Rima Das,Bulbul Can Sing
Paco Plaza,Eye For An Eye
Andrew Goth,MindGamers
Jeffrey G. Hunt,Saving Zoë
William Kaufman,The Brave
Marek Kanievska,Where the Money Is
Skye Borgman,Abducted in Plain Sight
Hashim Nadeem Khan,"Abdullah, The Final Witness"
NA,Adhugo
Mohsin Ali,Chupan Chupai
Svetlana Cvetko,Deadly Switch
Sarjun,Echcharikkai
Michael Civille,Only Mine
Feroz,Pandigai
Syed Atif Ali,Pari
Lee Seung-won,Revenger
Rik Reinholdtsen,Sebastian Maniscalco: Stay Hungry
"Stephanie Soechtig, Jeremy Seifert",The Devil We Know
Rocky Soraya,The Doll
Rocky Soraya,The Doll 2
John Asher,A Boy Called Po
"Latif Faiziyev, Umesh Mehra",Alibaba Aur 40 Chor
M.J. Isakson,Down The Fence
Matt Toronto,Face 2 Face
Michael Roberts,Manolo: The Boy Who Made Shoes for Lizards
Noah Moskin,One More Shot
John H. Lee,Operation Chromite
"Ajay Bhuyan, Kunal Kohli",Phir Se
Rajiv Mehra,Pyar Ke Do Pal
Rhiannon Bannenberg,Rip Tide
Bin Bunluerit,Thong Dee Fun Khao
Jennifer Brea,Unrest
Pradeep Verma,Urvi
Hannes Stöhr,Berlin Calling
Ron Davis,Harry and Snowman
Marty Stalker,Hostage to the Devil
Daniel Noah,Max Rose
Andreas Prochaska,Sarajevo
Maximilian Erlenwein,Stereo
John Carchietta,Teenage Cocktail
Isaac Ezban,The Similars
NA,"Twisted Trunk, Big Fat Body"
Burhan Qurbani,We Are Young. We Are Strong.
Wilson Yip,Ip Man
Wilson Yip,Ip Man 2
"David Benioff, D.B. Weiss",Leslie Jones: Time Machine
Paul Thomas Anderson,The Master
Patryk Vega,Women of Mafia 2
Charles Officer,Invisible Essence: The Little Prince
Peter Sattler,Camp X-Ray
Marcelo González,Estar o no estar
Zach Clark,Little Sister
N.D. Wilson,The River Thief
Sean Penn,The Last Face
Daniel Stamm,13 Sins
Gauravv K Chawla,Baazaar
David O. Russell,The Fighter
Kleber Mendonça Filho,Aquarius
Hubert Woroniecki,Casablancas: The Man Who Loved Women
Alistair Legrand,Clinical
Steve Boettcher,Betty White: First Lady of Television
Mikhil Musale,Made in China
Julian Jarrold,Becoming Jane
Quinn Lasher,He's Out There
David Mrnka,Milada
"John Mikulak, Joshua Brown",The Man Who Would Be Polka King
Maya Forbes,The Polka King
Choi Jin-seong,The Reservoir Game
Jay Karas,Tom Segura: Disgraceful
Ira Sachs,Little Men
Mir-Jean Bou Chaaya,Very Big Shot
Peter Hewitt,Zoom
Dan Villegas,All of You
Bent-Jorgen Perlmutt,ReMastered: Massacre at the Stadium
Hugo Stuven,Solo
Greg Pritikin,The Last Laugh
Amman Abbasi,Dayveon
Tom Green,Monsters: Dark Continent
Mike Gunther,Set Up
Fred Olen Ray,Sniper: Special Ops
Sam Raimi,The Evil Dead
NA,Alejandro Riaño: Especial de stand up
Johannes Roberts,In The Deep
Heitor Dhalia,On Yoga The Architecture of Peace
Jeannie Gaffigan,Jim Gaffigan: Cinco
Robert Luketic,21
Mark Rosman,A Cinderella Story
Richard Rich,Alpha and Omega: The Legend of the Saw Tooth Cave
Sam Mendes,American Beauty
Sarah Smith,Arthur Christmas
Edwin,Aruna & Her Palate
James L. Brooks,As Good as It Gets
Jeff Tremaine,Bad Grandpa .5
Vadim Jean,Breaking the Bank
Steven Spielberg,Catch Me If You Can
Nicholas Hytner,Center Stage
Tim Burton,Charlie and the Chocolate Factory
Kevin Smith,Chasing Amy
Ken Hughes,Chitty Chitty Bang Bang
Atom Egoyan,Chloe
"Fernando Meirelles, Katia Lund",City of God
Frank Coraci,Click
Matt Reeves,Cloverfield
Thomas Carter,Coach Carter
Jay Roach,Dinner for Schmucks
Mike Newell,Donnie Brasco
Rob Cohen,Dragonheart
Colin Teague,Dragonheart 3: The Sorcerer
Doug Lefler,Dragonheart: A New Beginning
Paul W.S. Anderson,Event Horizon
Chris Stokes,Fall Girls
James Wong,Final Destination
David R. Ellis,Final Destination 2
James Wong,Final Destination 3
Simon Wincer,Free Willy
Marcus Nispel,Friday the 13th
"Mark A.Z. Dippé, Kyung Ho Lee",Garfield Gets Real
"Mark A.Z. Dippé, Eondeok Han",Garfield's Fun Fest
Mark A.Z. Dippé,Garfield's Pet Force
Mark Steven Johnson,Ghost Rider
"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",Ghost Stories
Roland Emmerich,Godzilla
Adam Shankman,Hairspray
Danny Leiner,Harold & Kumar Go to White Castle
Andy Tennant,Hitch
Keoni Waxman,Hunt to Kill
Christopher Nolan,Inception
Eugenio Derbez,Instructions Not Included
Michael Simon,Jeff Dunham: Unhinged in Hollywood
John A. Davis,Jimmy Neutron: Boy Genius
Nora Ephron,Julie & Julia
James Mangold,Kate & Leopold
Quentin Tarantino,Kill Bill: Vol. 1
Quentin Tarantino,Kill Bill: Vol. 2
"Peter Farrelly, Bobby Farrelly",Kingpin
Gary Fleder,Kiss the Girls
Luis Valdez,La Bamba
Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole
Lucas Margutti,Luccas Neto in: Children's Day
Paul Thomas Anderson,Magnolia
Shyam Benegal,Mandi
Patricia Rozema,Mansfield Park
Robert Luketic,Monster-in-Law
Duncan Jones,Moon
Howard Zieff,My Girl
Dennie Gordon,New York Minute
Guillermo del Toro,Pan's Labyrinth
